# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
도덕성	도덕/NNG+성/XSN
빈객이	빈객/NNG+이/JKS
데카르트가	데카르트/NNP+가/JKS
검토중이다.	검토/NNG+중/NNB+이/VCP+다/EF+./SF
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF
떼지	떼/VV+지/EC
아침,	아침/NNG+,/SP
사회에서도	사회/NNG+에서/JKB+도/JX
임시국회가	임시/NNG+국회/NNG+가/JKS
행정부는	행정부/NNG+는/JX
뚝뚝	뚝뚝/MAG
뛰기	뛰/VV+기/ETN
쓰레기로	쓰레기/NNG+로/JKB
현장메모	현장/NNG+메모/NNG
기풍을	기풍/NNG+을/JKO
동떨어진	동떨어지/VV+ㄴ/ETM
얼마쯤	얼마/NNG+쯤/NNB
"다른	"/SS+다른/MM
도둑을	도둑/NNG+을/JKO
계속적으로	계속/NNG+적/XSN+으로/JKB
5년간	5/SN+년/NNB+간/NNB
커뮤니케이션의	커뮤니케이션/NNG+의/JKG
원리로	원리/NNG+로/JKB
라면	라면/NNG
역학은	역학/NNG+은/JX
어머니께	어머니/NNG+께/JKB
사고력을	사고력/NNG+을/JKO
역학에	역학/NNG+에/JKB
여행의	여행/NNG+의/JKG
코치로	코치/NNG+로/JKB
의견도	의견/NNG+도/JX
달해	달하/VV+아/EC
덮은	덮/VV+은/ETM
닫힌	닫히/VV+ㄴ/ETM
헤어졌다.	헤어지/VV+었/EP+다/EF+./SF
동양	동양/NNG
동요	동요/NNG
성분이	성분/NNG+이/JKS
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
두른	두르/VV+ㄴ/ETM
앞장을	앞장/NNG+을/JKO
풍성하게	풍성/XR+하/XSA+게/EC
풍요로운	풍요/NNG+롭/XSA+ㄴ/ETM
교육과정을	교육/NNG+과정/NNG+을/JKO
세밀한	세밀/XR+하/XSA+ㄴ/ETM
둘씩	둘/NR+씩/XSN
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
드물	드물/VA+ㄹ/ETM
닥쳐올	닥쳐오/VV+ㄹ/ETM
띄었다.	띄/VV+었/EP+다/EF+./SF
기제사를	기제사/NNG+를/JKO
안쪽에	안쪽/NNG+에/JKB
한국보다	한국/NNP+보다/JKB
불균형이	불/XPN+균형/NNG+이/JKS
뒤진	뒤지/VV+ㄴ/ETM
용서를	용서/NNG+를/JKO
은근한	은근/XR+하/XSA+ㄴ/ETM
여러분	여러분/NP
스포츠는	스포츠/NNG+는/JX
다치게	다치/VV+게/EC
여전하다.	여전/XR+하/XSA+다/EF+./SF
옷깃을	옷깃/NNG+을/JKO
둔화됨에	둔화/NNG+되/XSV+ㅁ/ETN+에/JKB
떠오르지	떠오르/VV+지/EC
출연	출연/NNG
8월에	8/SN+월/NNB+에/JKB
갑작스레	갑작스레/MAG
편지에서	편지/NNG+에서/JKB
사람끼리	사람/NNG+끼리/XSN
출판	출판/NNG
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF
추후	추후/NNG
간부들이	간부/NNG+들/XSN+이/JKS
실감하게	실감/NNG+하/XSV+게/EC
부각되고	부각/NNG+되/XSV+고/EC
형태에	형태/NNG+에/JKB
초과	초과/NNG
근간으로	근간/NNG+으로/JKB
김종상	김종상/NNP
절감하고	절감/NNG+하/XSV+고/EC
춥고	춥/VA+고/EC
쿠바에서	쿠바/NNP+에서/JKB
짐작은	짐작/NNG+은/JX
황제를	황제/NNG+를/JKO
깨어나	깨어나/VV+아/EC
크리스마스	크리스마스/NNG
두환에게	두환/NNP+에게/JKB
실력이	실력/NNG+이/JKS
일그러진	일그러지/VV+ㄴ/ETM
뒷모습을	뒷모습/NNG+을/JKO
키도	키/NNG+도/JX
교육청에서	교육청/NNG+에서/JKB
후보는	후보/NNG+는/JX
합리주의적	합리주의/NNG+적/XSN
물리적으로	물리/NNG+적/XSN+으로/JKB
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF
후부터	후/NNG+부터/JX
기초적	기초/NNG+적/XSN
되어가고	되/VV+어/EC+가/VX+고/EC
대답도	대답/NNG+도/JX
지식이나	지식/NNG+이나/JC
캔터	캔터/NNP
도이칠란트의	도이칠란트/NNP+의/JKG
문화재의	문화재/NNG+의/JKG
지레	지레/MAG
인트라넷을	인트라넷/NNG+을/JKO
아이들,	아이/NNG+들/XSN+,/SP
즉석	즉석/NNG
마디가	마디/NNG+가/JKS
지점을	지점/NNG+을/JKO
입각하여	입각/NNG+하/XSV+아/EC
만들면	만들/VV+면/EC
지주	지주/NNG
짚을	짚/NNG+을/JKO
신문이나	신문/NNG+이나/JC
생활수준이	생활수준/NNG+이/JKS
다르다	다르/VA+다/EC
진전될	진전/NNG+되/XSV+ㄹ/ETM
한국문학의	한국/NNP+문학/NNG+의/JKG
정은	정/NNG+은/JX
잘할	잘/MAG+하/XSV+ㄹ/ETM
잘해	잘/MAG+하/XSV+아/EC
승리할	승리/NNG+하/XSV+ㄹ/ETM
마땅치	마땅/XR+하/XSA+지/EC
원만하게	원만/XR+하/XSA+게/EC
전파	전파/NNG
종을	종/NNG+을/JKO
치우고	치우/VV+고/EC
점포	점포/NNG
정통	정통/NNG
빛으로	빛/NNG+으로/JKB
주를	주/NNG+를/JKO
주말	주말/NNG
증권	증권/NNG
짧고	짧/VA+고/EC
의논해서	의논/NNG+하/XSV+아서/EC
질긴	질기/VA+ㄴ/ETM
"제가	"/SS+제/NP+가/JKS
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
투자자들의	투자자/NNG+들/XSN+의/JKG
투자자들이	투자자/NNG+들/XSN+이/JKS
급하게	급하/VA+게/EC
찔러	찌르/VV+어/EC
승리의	승리/NNG+의/JKG
신들을	신/NNG+들/XSN+을/JKO
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
무의미한	무/XPN+의미/NNG+하/XSA+ㄴ/ETM
금하고	금하/VV+고/EC
대례를	대례/NNG+를/JKO
훈련된	훈련/NNG+되/XSV+ㄴ/ETM
감시하고	감시/NNG+하/XSV+고/EC
시동을	시동/NNG+을/JKO
투명성	투명/NNG+성/XSN
어떤가?	어떻/VA+ㄴ가/EF+?/SF
회사로	회사/NNG+로/JKB
지위나	지위/NNG+나/JC
통화통합	통화/NNG+통합/NNG
예측하기	예측/NNG+하/XSV+기/ETN
달리게	달리/VV+게/EC
연습	연습/NNG
안한	안/MAG+하/VV+ㄴ/ETM
만세를	만세/NNG+를/JKO
연장	연장/NNG
기세를	기세/NNG+를/JKO
연애	연애/NNG
씨팔	씨팔/IC
인간으로서	인간/NNG+으로서/JKB
여린	여리/VA+ㄴ/ETM
양적	양/NNG+적/XSN
심성을	심성/NNG+을/JKO
모르지.	모르/VV+지/EF+./SF
고속도로를	고속도로/NNG+를/JKO
씻은	씻/VV+은/ETM
300여	300/SN+여/XSN
내려가면	내려가/VV+면/EC
양식	양식/NNG
주목하고	주목/NNG+하/XSV+고/EC
빼빼는	빼빼/NNP+는/JX
혼신의	혼신/NNG+의/JKG
교통사고로	교통사고/NNG+로/JKB
기성회	기성회/NNG
쓰일	쓰이/VV+ㄹ/ETM
씹어	씹/VV+어/EC
예고	예고/NNG
아랍	아랍/NNP
악마	악마/NNG
지하에	지하/NNG+에/JKB
쓸어	쓸/VV+어/EC
[매우	[/SS+매우/MAG
쓰여	쓰이/VV+어/EC
회의실에서	회의실/NNG+에서/JKB
자기자본비율이	자기/NNG+자본/NNG+비율/NNG+이/JKS
안경	안경/NNG
사람만이	사람/NNG+만/JX+이/JKS
아동	아동/NNG
않다	않/VX+다/EC
이용자는	이용자/NNG+는/JX
인기있는	인기/NNG+있/VV+는/ETM
작용하게	작용/NNG+하/XSV+게/EC
싶어,	싶/VX+어/EC+,/SP
페넌트레이스	페넌트/NNG+레이스/NNG
화사한	화사/XR+하/XSA+ㄴ/ETM
예리하게	예리/XR+하/XSA+게/EC
기자〉	기자/NNG+〉/SS
먹으려고	먹/VV+으려고/EC
적자	적자/NNG
기업내부의	기업/NNG+내부/NNG+의/JKG
일행	일행/NNG
일해	일/NNG+하/XSV+아/EC
재차	재차/MAG
조달	조달/NNG
판결은	판결/NNG+은/JX
장점	장점/NNG
일차	일차/NNG
떠올랐습니다.	떠오르/VV+았/EP+습니다/EF+./SF
좁고	좁/VA+고/EC
참가하고	참가/NNG+하/XSV+고/EC
일절	일절/MAG
인재	인재/NNG
신설된	신설/NNG+되/XSV+ㄴ/ETM
투자에	투자/NNG+에/JKB
시사해	시사/NNG+하/XSV+아/EC
인쇄	인쇄/NNG
읊은	읊/VV+은/ETM
자매	자매/NNG
전개	전개/NNG
직결되는	직결/NNG+되/XSV+는/ETM
종지부를	종지부/NNG+를/JKO
인명	인명/NNG
첫날밤을	첫날밤/NNG+을/JKO
재단	재단/NNG
통합의	통합/NNG+의/JKG
입던	입/VV+던/ETM
의무	의무/NNG
선진국들이	선진국/NNG+들/XSN+이/JKS
자극	자극/NNG
임대	임대/NNG
원전	원전/NNG
원장	원장/NNG
선진국들의	선진국/NNG+들/XSN+의/JKG
응답	응답/NNG
용어	용어/NNG
공작원의	공작원/NNG+의/JKG
일견	일견/NNG
입국	입국/NNG
담보로	담보/NNG+로/JKB
의거	의거/NNG
왕창	왕창/MAG
은행경영의	은행/NNG+경영/NNG+의/JKG
최근까지	최근/NNG+까지/JX
부적절한	부/XPN+적절/XR+하/XSA+ㄴ/ETM
메달을	메달/NNG+을/JKO
企業	企業/SH
늦어도	늦/VA+어도/EC
심화되는	심화/NNG+되/XSV+는/ETM
벗어나고	벗어나/VV+고/EC
얹혀	얹히/VV+어/EC
열지	열/VV+지/EC
[무슨	[/SS+무슨/MM
성체	성체/NNG
밝힌다.	밝히/VV+ㄴ다/EF+./SF
춘향을	춘향/NNP+을/JKO
직후,	직후/NNG+,/SP
200여	200/SN+여/XSN
점.	점/NNB+./SF
선한	선하/VA+ㄴ/ETM
교육개혁의	교육/NNG+개혁/NNG+의/JKG
인간관계를	인간관계/NNG+를/JKO
행하고	행하/VV+고/EC
응,	응/IC+,/SP
비상이	비상/NNG+이/JKS
성보	성보/NNG
기울고	기울/VV+고/EC
사탕	사탕/NNG
{미국은	{/SS+미국/NNP+은/JX
현안이	현안/NNG+이/JKS
선원	선원/NNG
셋을	셋/NR+을/JKO
셋이	셋/NR+이/JKS
세째	세째/NR
7명이	7/SN+명/NNB+이/JKS
성은	성/NNG+은/JX
상류	상류/NNG
축하를	축하/NNG+를/JKO
생물	생물/NNG
생생하다.	생생/XR+하/XSA+다/EF+./SF
사십	사십/NR
섰던	서/VV+었/EP+던/ETM
혈액을	혈액/NNG+을/JKO
삶아	삶/VV+아/EC
부추기고	부추기/VV+고/EC
침묵이	침묵/NNG+이/JKS
침묵을	침묵/NNG+을/JKO
상임	상임/NNG
사게	사/VV+게/EC
삼게	삼/VV+게/EC
발생시키는	발생/NNG+시키/XSV+는/ETM
삼각	삼각/NNG
우리측의	우리/NP+측/NNB+의/JKG
우리측이	우리/NP+측/NNB+이/JKS
사러	사/VV+러/EC
살린	살리/VV+ㄴ/ETM
시비는	시비/NNG+는/JX
수학은	수학/NNG+은/JX
심히	심히/MAG
수행에	수행/NNG+에/JKB
진출이	진출/NNG+이/JKS
취지에	취지/NNG+에/JKB
양성하는	양성/NNG+하/XSV+는/ETM
쌀의	쌀/NNG+의/JKG
실질	실질/NNG
싸여	싸이/VV+어/EC
심할	심하/VA+ㄹ/ETM
써온	쓰/VV+어/EC+오/VX+ㄴ/ETM
습속이	습속/NNG+이/JKS
지출이	지출/NNG+이/JKS
맹렬한	맹렬/XR+하/XSA+ㄴ/ETM
신탁	신탁/NNG
급기야는	급기야/MAG+는/JX
수표의	수표/NNG+의/JKG
추정되는	추정/NNG+되/XSV+는/ETM
카롤루스	카롤루스/NNP
수호	수호/NNG
쉬어	쉬/VV+어/EC
다스려	다스리/VV+어/EC
産業生産은	産業生産/SH+은/JX
시사	시사/NNG
혼선을	혼선/NNG+을/JKO
개선해야	개선/NNG+하/XSV+아야/EC
소풍	소풍/NNG
선거운동을	선거/NNG+운동/NNG+을/JKO
수영	수영/NNG
지켜본	지켜보/VV+ㄴ/ETM
지켜볼	지켜보/VV+ㄹ/ETM
수술	수술/NNG
수신	수신/NNG
수석	수석/NNG
취지는	취지/NNG+는/JX
리스크	리스크/NNG
추정되고	추정/NNG+되/XSV+고/EC
퇴직금	퇴직금/NNG
스승을	스승/NNG+을/JKO
풍부하고	풍부/XR+하/XSA+고/EC
5백만	5/SN+백만/NR
서민들이	서민/NNG+들/XSN+이/JKS
어디에도	어디/NP+에/JKB+도/JX
말예요.	말/NNG+이/VCP+에요/EF+./SF
극성을	극성/NNG+을/JKO
글이다.	글/NNG+이/VCP+다/EF+./SF
식량난을	식량난/NNG+을/JKO
맞이할	맞이/XR+하/XSV+ㄹ/ETM
北韓	北韓/SH
비범한	비범/XR+하/XSA+ㄴ/ETM
지배할	지배/NNG+하/XSV+ㄹ/ETM
만족을	만족/NNG+을/JKO
직면해	직면/NNG+하/XSV+아/EC
특별법	특별법/NNG
느껴질	느끼/VV+어/EC+지/VX+ㄹ/ETM
광주에서	광주/NNP+에서/JKB
밀어치기로	밀어치기/NNG+로/JKB
國會	國會/SH
<주간부기자>	</SS+주간부/NNG+기자/NNG+>/SS
형태이다.	형태/NNG+이/VCP+다/EF+./SF
지원으로	지원/NNG+으로/JKB
만들기도	만들/VV+기/ETN+도/JX
그럴듯하게	그렇/VA+ㄹ/ETM+듯/NNB+하/XSA+게/EC
앞장서고	앞장서/VV+고/EC
수산물	수산물/NNG
교황청	교황청/NNG
바로잡아야	바로잡/VV+아야/EC
중얼거린다.	중얼거리/VV+ㄴ다/EF+./SF
관계개선을	관계/NNG+개선/NNG+을/JKO
느낌에	느낌/NNG+에/JKB
비만은	비만/NNG+은/JX
세번째는	세/MM+번/NNB+째/XSN+는/JX
아리스토텔레스는	아리스토텔레스/NNP+는/JX
물가안정을	물가/NNG+안정/NNG+을/JKO
간주하고	간주/NNG+하/XSV+고/EC
빠뜨린	빠뜨리/VV+ㄴ/ETM
되어버린	되/VV+어/EC+버리/VX+ㄴ/ETM
깃발을	깃발/NNG+을/JKO
말씀은	말씀/NNG+은/JX
권한다.	권하/VV+ㄴ다/EF+./SF
불쾌한	불쾌/XR+하/XSA+ㄴ/ETM
교수들은	교수/NNG+들/XSN+은/JX
말씀에	말씀/NNG+에/JKB
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
대비하는	대비/NNG+하/XSV+는/ETM
국학을	국학/NNG+을/JKO
아기에게	아기/NNG+에게/JKB
유례없는	유례없/VA+는/ETM
구해서	구하/VV+아서/EC
한국측의	한국/NNP+측/NNB+의/JKG
위배되는	위배/NNG+되/XSV+는/ETM
긴밀히	긴밀히/MAG
집어넣고	집어넣/VV+고/EC
쉽다는	쉽/VA+다는/ETM
사랑방에	사랑방/NNG+에/JKB
겸허하게	겸허/NNG+하/XSA+게/EC
환자들이	환자/NNG+들/XSN+이/JKS
새끼들이	새끼/NNG+들/XSN+이/JKS
정치사상	정치사상/NNG
서울대교구	서울/NNP+대/XPN+교구/NNG
4학년	4/SN+학년/NNG
번역해서	번역/NNG+하/XSV+아서/EC
초래하게	초래/NNG+하/XSV+게/EC
지역사회에	지역/NNG+사회/NNG+에/JKB
결의안을	결의안/NNG+을/JKO
미끄러져	미끄러지/VV+어/EC
{최근	{/SS+최근/NNG
부친의	부친/NNG+의/JKG
오토바이를	오토바이/NNG+를/JKO
주체인	주체/NNG+이/VCP+ㄴ/ETM
스스로에게	스스로/NNG+에게/JKB
전개해야	전개/NNG+하/XSV+아야/EC
도입으로	도입/NNG+으로/JKB
장악하고	장악/NNG+하/XSV+고/EC
호구에게	호구/NNG+에게/JKB
아닌데도	아니/VCN+ㄴ데/EC+도/JX
머리로	머리/NNG+로/JKB
눈앞이	눈앞/NNG+이/JKS
살아가기	살아가/VV+기/ETN
임진왜란	임진왜란/NNP
때문이라	때문/NNB+이/VCP+라/EC
측면에	측면/NNG+에/JKB
전개하기	전개/NNG+하/XSV+기/ETN
맞았던	맞/VV+았/EP+던/ETM
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF
때문이며	때문/NNB+이/VCP+며/EC
생기고,	생기/VV+고/EC+,/SP
성립되는	성립/NNG+되/XSV+는/ETM
해안	해안/NNG
해양	해양/NNG
투입하는	투입/NNG+하/XSV+는/ETM
햇빛	햇빛/NNG
먹어도	먹/VV+어도/EC
자칭하는	자칭/NNG+하/XSV+는/ETM
신바람을	신바람/NNG+을/JKO
불가결한	불가결/NNG+하/XSA+ㄴ/ETM
되리라고	되/VV+리라고/EC
풀이하는	풀이/NNG+하/XSV+는/ETM
부총리	부총리/NNG
몰랐던	모르/VV+았/EP+던/ETM
제자들을	제자/NNG+들/XSN+을/JKO
기념해	기념/NNG+하/XSV+아/EC
필요했던	필요/NNG+하/XSA+았/EP+던/ETM
신랑,	신랑/NNG+,/SP
품지	품/VV+지/EC
성립되지	성립/NNG+되/XSV+지/EC
표준	표준/NNG
그룹이	그룹/NNG+이/JKS
자동으로	자동/NNG+으로/JKB
빈도는	빈도/NNG+는/JX
후배	후배/NNG
회색	회색/NNG
그러다보니	그러/VV+다/EC+보/VX+니/EC
호주	호주/NNP
국정원	국정원/NNG
형식	형식/NNG
다가와	다가오/VV+아/EC
기준에서	기준/NNG+에서/JKB
면밀한	면밀/XR+하/XSA+ㄴ/ETM
내려다보며	내려다보/VV+며/EC
해제	해제/NNG
거야?"	거/NNB+이/VCP+야/EF+?/SF+"/SS
호황을	호황/NNG+을/JKO
추위를	추위/NNG+를/JKO
붙이지	붙이/VV+지/EC
기대감을	기대감/NNG+을/JKO
권익을	권익/NNG+을/JKO
지수의	지수/NNG+의/JKG
흔들릴	흔들리/VV+ㄹ/ETM
후진	후진/NNG
5·16	5/SN+·/SP+16/SN
현황	현황/NNG
초조하게	초조/NNG+하/XSA+게/EC
효자	효자/NNG
순자는	순자/NNP+는/JX
그리로	그리로/MAG
신부)는	신부/NNG+)/SS+는/JX
다급한	다급/XR+하/XSA+ㄴ/ETM
몰락한	몰락/NNG+하/XSV+ㄴ/ETM
숙부님이	숙부/NNG+님/XSN+이/JKS
붙이는	붙이/VV+는/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF
시내의	시내/NNG+의/JKG
불우한	불우/NNG+하/XSA+ㄴ/ETM
선택하여	선택/NNG+하/XSV+아/EC
大帶	大帶/SH
비난이	비난/NNG+이/JKS
힘,	힘/NNG+,/SP
터널	터널/NNG
이용한다.	이용/NNG+하/XSV+ㄴ다/EF+./SF
그곳에는	그곳/NP+에/JKB+는/JX
손혁은	손혁/NNP+은/JX
중국에서도	중국/NNP+에서/JKB+도/JX
시기로	시기/NNG+로/JKB
아니다,	아니/VCN+다/EC+,/SP
[씨팔	[/SS+씨팔/IC
붙여서	붙이/VV+어서/EC
그만두었다.	그만두/VV+었/EP+다/EF+./SF
자부한다.	자부/NNG+하/XSV+ㄴ다/EF+./SF
재미있다.	재미있/VA+다/EF+./SF
심심찮게	심심찮/VA+게/EC
궁지에	궁지/NNG+에/JKB
최첨단	최/XPN+첨단/NNG
치더라도	치/VV+더라도/EC
틈도	틈/NNG+도/JX
아팠다.	아프/VA+았/EP+다/EF+./SF
특색을	특색/NNG+을/JKO
수요와	수요/NNG+와/JC
'천하	'/SS+천하/NNG
불안하다.	불안/NNG+하/XSA+다/EF+./SF
심각히	심각히/MAG
대결은	대결/NNG+은/JX
희생으로	희생/NNG+으로/JKB
스위치를	스위치/NNG+를/JKO
팀은	팀/NNG+은/JX
시계는	시계/NNG+는/JX
아가씨들이	아가씨/NNG+들/XSN+이/JKS
시가의	시가/NNG+의/JKG
하락하여	하락/NNG+하/XSV+아/EC
사직동팀	사직동/NNP+팀/NNG
네덜란드로	네덜란드/NNP+로/JKB
짤막한	짤막/XR+하/XSA+ㄴ/ETM
기류가	기류/NNG+가/JKS
4차원	4/SN+차원/NNG
수집,	수집/NNG+,/SP
우성건설의	우성건설/NNP+의/JKG
파문	파문/NNG
조심해야	조심/NNG+하/XSV+아야/EC
있습니다."	있/VV+습니다/EF+./SF+"/SS
아카시아	아카시아/NNG
부위를	부위/NNG+를/JKO
늘면서	늘/VV+면서/EC
펄펄	펄펄/MAG
이야기들을	이야기/NNG+들/XSN+을/JKO
극복해	극복/NNG+하/XSV+아/EC
정치인의	정치인/NNG+의/JKG
낮아졌으며	낮/VA+아/EC+지/VX+었/EP+으며/EC
협회는	협회/NNG+는/JX
포항	포항/NNP
사람인데	사람/NNG+이/VCP+ㄴ데/EC
근거없는	근거/NNG+없/VA+는/ETM
홍콩의	홍콩/NNP+의/JKG
4일부터	4/SN+일/NNB+부터/JX
퍼진	퍼지/VV+ㄴ/ETM
시골로	시골/NNG+로/JKB
1990년대에	1990/SN+년대/NNB+에/JKB
평일	평일/NNG
10분의	10/SN+분/XSN+의/JKG
民正黨은	民正黨/SH+은/JX
아니야."	아니/VCN+야/EF+./SF+"/SS
정보기술	정보/NNG+기술/NNG
판단한다.	판단/NNG+하/XSV+ㄴ다/EF+./SF
독자들이	독자/NNG+들/XSN+이/JKS
조사결과	조사/NNG+결과/NNG
확산되는	확산/NNG+되/XSV+는/ETM
국수를	국수/NNG+를/JKO
시작되기	시작/NNG+되/XSV+기/ETN
교육용	교육/NNG+용/XSN
해오던	하/VV+아/EC+오/VX+던/ETM
마련하고,	마련/NNG+하/XSV+고/EC+,/SP
기다려도	기다리/VV+어도/EC
보내기도	보내/VV+기/ETN+도/JX
96.02.17	96/SN+./SF+02/SN+./SF+17/SN
96.02.04	96/SN+./SF+02/SN+./SF+04/SN
그늘에	그늘/NNG+에/JKB
못살게	못살/VV+게/EC
통계는	통계/NNG+는/JX
여러가지로	여러/MM+가지/NNB+로/JKB
바뀌면서	바뀌/VV+면서/EC
기여하고	기여/NNG+하/XSV+고/EC
파운드貨에	파운드/NNG+貨/SH+에/JKB
"그것은	"/SS+그것/NP+은/JX
입구에서	입구/NNG+에서/JKB
멀쩡한	멀쩡/XR+하/XSA+ㄴ/ETM
나라에도	나라/NNG+에/JKB+도/JX
태양이	태양/NNG+이/JKS
결혼할	결혼/NNG+하/XSV+ㄹ/ETM
나가라고	나가/VV+라고/EC
구성한	구성/NNG+하/XSV+ㄴ/ETM
우주구조가	우주/NNG+구조/NNG+가/JKS
구속을	구속/NNG+을/JKO
그날이	그날/NNG+이/JKS
물었고,	묻/VV+었/EP+고/EC+,/SP
대신하여	대신/NNG+하/XSV+아/EC
행사부	행사부/NNG
한국시리즈에	한국시리즈/NNP+에/JKB
극단적으로	극단/NNG+적/XSN+으로/JKB
탁자에	탁자/NNG+에/JKB
나타난다는	나타나/VV+ㄴ다는/ETM
먼지를	먼지/NNG+를/JKO
굳어져	굳어지/VV+어/EC
것이다}	것/NNB+이/VCP+다/EC+}/SS
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF
존재하게	존재/NNG+하/XSV+게/EC
영유권을	영유/NNG+권/XSN+을/JKO
태식은	태식/NNP+은/JX
수용소에	수용소/NNG+에/JKB
시행할	시행/NNG+하/XSV+ㄹ/ETM
여겨지는	여기/VV+어/EC+지/VX+는/ETM
시장경제	시장/NNG+경제/NNG
발휘해야	발휘/NNG+하/XSV+아야/EC
80년대의	80/SN+년대/NNB+의/JKG
주부를	주부/NNG+를/JKO
"그래.	"/SS+그래/IC+./SF
밖에서는	밖/NNG+에서/JKB+는/JX
건전하게	건전/XR+하/XSA+게/EC
한번이라도	한/MM+번/NNB+이/VCP+라도/EC
즐겁고	즐겁/VA+고/EC
물가의	물가/NNG+의/JKG
방안이다.	방안/NNG+이/VCP+다/EF+./SF
수도권에서	수도/NNG+권/XSN+에서/JKB
준비된	준비/NNG+되/XSV+ㄴ/ETM
많았고,	많/VA+았/EP+고/EC+,/SP
풀었다.	풀/VV+었/EP+다/EF+./SF
나타낸다고	나타내/VV+ㄴ다고/EC
중반에	중반/NNG+에/JKB
교장을	교장/NNG+을/JKO
증가는	증가/NNG+는/JX
12명의	12/SN+명/NNB+의/JKG
농사가	농사/NNG+가/JKS
심하면	심하/VA+면/EC
가다듬어	가다듬/VV+어/EC
현격한	현격/XR+하/XSA+ㄴ/ETM
국한되지	국한/NNG+되/XSV+지/EC
하숙을	하숙/NNG+을/JKO
것인가는	것/NNB+이/VCP+ㄴ가/EC+는/JX
실현할	실현/NNG+하/XSV+ㄹ/ETM
주의해야	주의/NNG+하/XSV+아야/EC
계층을	계층/NNG+을/JKO
毛는	毛/SH+는/JX
만들었던	만들/VV+었/EP+던/ETM
무렵의	무렵/NNB+의/JKG
지켜지지	지키/VV+어/EC+지/VX+지/EC
물러나	물러나/VV+아/EC
처지다.	처지/NNG+이/VCP+다/EF+./SF
누르는	누르/VV+는/ETM
괴상한	괴상/XR+하/XSA+ㄴ/ETM
해보고	해보/VV+고/EC
중립성을	중립/NNG+성/XSN+을/JKO
친척들이	친척/NNG+들/XSN+이/JKS
北韓의	北韓/SH+의/JKG
척하고	척/NNB+하/XSV+고/EC
經常收支	經常收支/SH
국면에	국면/NNG+에/JKB
과제인	과제/NNG+이/VCP+ㄴ/ETM
닦으면서	닦/VV+으면서/EC
여자집에	여자/NNG+집/NNG+에/JKB
노조의	노조/NNG+의/JKG
중장기	중장기/NNG
친족원을	친족원/NNG+을/JKO
학생도	학생/NNG+도/JX
단속하는	단속/NNG+하/XSV+는/ETM
지도로	지도/NNG+로/JKB
공원에	공원/NNG+에/JKB
진달래	진달래/NNG
높았던	높/VA+았/EP+던/ETM
과업이	과업/NNG+이/JKS
과업은	과업/NNG+은/JX
2루타를	2/SN+루/NNG+타/NNG+를/JKO
모이게	모이/VV+게/EC
처사다.	처사/NNG+이/VCP+다/EF+./SF
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뽑아서	뽑/VV+아서/EC
논의될	논의/NNG+되/XSV+ㄹ/ETM
주체로	주체/NNG+로/JKB
목적의	목적/NNG+의/JKG
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF
원격학습	원격/NNG+학습/NNG
노동자의	노동자/NNG+의/JKG
돋보이는	돋보이/VV+는/ETM
되었어.	되/VV+었/EP+어/EF+./SF
공장의	공장/NNG+의/JKG
제고하는	제고/NNG+하/XSV+는/ETM
과장과	과장/NNG+과/JC
부합하는	부합/NNG+하/XSV+는/ETM
받았으나	받/VV+았/EP+으나/EC
이라크가	이라크/NNP+가/JKS
모임인	모임/NNG+이/VCP+ㄴ/ETM
나라라고	나라/NNG+이/VCP+라고/EC
여학생은	여학생/NNG+은/JX
관찰과	관찰/NNG+과/JC
5월부터	5/SN+월/NNB+부터/JX
지경이	지경/NNB+이/JKC
모아둔	모으/VV+아/EC+두/VX+ㄴ/ETM
조항은	조항/NNG+은/JX
청춘을	청춘/NNG+을/JKO
눈발이	눈발/NNG+이/JKS
죽었을	죽/VV+었/EP+을/ETM
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
눈물은	눈물/NNG+은/JX
가족이나	가족/NNG+이나/JC
선거운동	선거/NNG+운동/NNG
고르바초프의	고르바초프/NNP+의/JKG
참신하고	참신/XR+하/XSA+고/EC
노출된	노출/NNG+되/XSV+ㄴ/ETM
준엄한	준엄/XR+하/XSA+ㄴ/ETM
운용하는	운용/NNG+하/XSV+는/ETM
고쳐서	고치/VV+어서/EC
태도였다.	태도/NNG+이/VCP+었/EP+다/EF+./SF
사회구조	사회/NNG+구조/NNG
하루의	하루/NNG+의/JKG
초청,	초청/NNG+,/SP
구별을	구별/NNG+을/JKO
어렵지만	어렵/VA+지만/EC
세상으로	세상/NNG+으로/JKB
